date,close_mean,close_sd,open_mean,open_sd,high_mean,high_sd,low_mean,low_sd,close_lr_open_lr_cov,close_lr_high_lr_cov,close_lr_low_lr_cov,open_lr_high_lr_cov,open_lr_low_lr_cov,high_lr_low_lr_cov,change_oi,avg_atmError,ts_atr,prevOp,ttm,atmError,strike,spot,opPrice,percentage,yield03,Target
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,-1.1700468018720749,1.006842699115044,1.0092356544545378,0.039601769911504416,23.0,1.036566371681416,11300.0,11713.2,512.1,4.531858407079646,6.18,45
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,850.0,0.9765942060085836,1.0092356544545378,0.010128755364806868,9.0,1.0054248927038627,11650.0,11713.2,153.2,1.3150214592274678,6.18,13
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,2909.756097560976,0.9560775210084032,1.0092356544545378,0.003361344537815127,9.0,0.9843025210084034,11900.0,11713.2,40.25,0.33823529411764697,6.18,3
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,238.6524822695036,0.9481102083333331,1.0092356544545378,0.0020166666666666666,9.0,0.9761,12000.0,11713.2,21.5,0.17916666666666667,6.18,1
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,25.58139534883721,0.9850495670995668,1.0092356544545378,0.015623376623376622,9.0,1.0141298701298702,11550.0,11713.2,192.6,1.6675324675324676,6.18,16
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,6.25,1.0113175555555554,1.0092356544545378,0.041742222222222215,23.0,1.0411733333333335,11250.0,11713.2,539.9,4.799111111111111,6.18,47
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,-3.3003300330033,0.9850495670995668,1.0092356544545378,0.023181818181818185,23.0,1.0141298701298702,11550.0,11713.2,317.5,2.7489177489177488,6.18,27
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,-2.0476825801960667,0.9808036637931034,1.0092356544545378,0.02019827586206897,23.0,1.0097586206896552,11600.0,11713.2,275.7,2.3767241379310344,6.18,23
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,49.87775061124696,0.9808036637931034,1.0092356544545378,0.01325,9.0,1.0097586206896552,11600.0,11713.2,184.35,1.5892241379310346,6.18,15
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,5.619739230896188,0.9724207264957264,1.0092356544545378,0.0148974358974359,23.0,1.0011282051282049,11700.0,11713.2,209.95,1.7944444444444445,6.18,17
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,-13.172043010752688,0.9765942060085836,1.0092356544545378,0.017476394849785408,23.0,1.0054248927038627,11650.0,11713.2,246.1,2.1124463519313306,6.18,21
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,8.505572274215417,0.9481102083333331,1.0092356544545378,0.004720833333333333,23.0,0.9761,12000.0,11713.2,67.95,0.56625,6.18,5
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,189.27680798004985,0.9641798728813558,1.0092356544545378,0.005690677966101695,9.0,0.9926440677966102,11800.0,11713.2,75.65,0.6411016949152543,6.18,6
2019-04-02,0.003366457821660668,0.005812894699168957,0.003949617186052771,0.007233759993670819,0.003403300986215902,0.006040415774511004,0.003931012065959425,0.006040756967178007,0.0033166247903554,0.005356304696336832,0.004905099387372288,0.00499799959983992,0.006102458520956943,0.005328226721902888,712.9032258064516,0.9682827659574468,1.0092356544545378,0.007302127659574469,9.0,0.9968680851063828,11750.0,11713.2,99.15,0.8438297872340427,6.18,8
